"STATION","DATE","DEWP","FRSHTT","GUST","MAX","MIN","MXSPD","PRCP","SLP","SNDP","STP","TEMP","VISIB","WDSP"
"42807099999","1944-05-01","  79.6","000000","999.9","  98.2","  82.4"," 11.1"," 0.00","1003.1","999.9","999.9","  87.9"," 72.5","  8.8"
"42807099999","1944-05-02","  80.1","000000","999.9","  98.2","  82.4"," 12.0"," 0.00","1002.9","999.9","999.9","  88.6"," 53.0","  8.6"
"42807099999","1944-05-03","  79.8","000000","999.9","  96.3","  80.2"," 12.0"," 0.00","1004.2","999.9","999.9","  87.6"," 64.4","  7.2"
"42807099999","1944-05-04","  78.5","000000","999.9"," 102.4","  79.3"," 13.0"," 0.00","1005.3","999.9","999.9","  88.5"," 60.6","  5.3"
"42807099999","1944-05-05","  78.8","000000","999.9","  99.3","  80.2","  8.0"," 0.00","1006.3","999.9","999.9","  87.8"," 75.8","  5.6"
"42807099999","1944-05-06","  79.6","000000","999.9","  97.3","  83.3"," 15.9"," 0.00","1004.1","999.9","999.9","  89.4"," 76.6","  8.1"
"42807099999","1944-05-07","  80.1","000000","999.9","  98.2","  82.4"," 15.9"," 0.00","1003.1","999.9","999.9","  88.3"," 99.4","  9.1"
"42807099999","1944-05-08","  79.3","000000","999.9","  96.3","  81.3"," 15.9"," 0.00","1003.8","999.9","999.9","  87.7"," 95.6","  8.1"
"42807099999","1944-05-09","  80.1","000000","999.9"," 100.2","  80.2"," 11.1"," 0.00","1004.3","999.9","999.9","  88.7"," 91.2","  6.0"
"42807099999","1944-05-10","  77.7","110010","999.9","  99.3","  74.3"," 21.0","99.99","1004.1","999.9","999.9","  85.5"," 51.4","  6.5"
