DATE,DEWP,MAX,MIN,MXSPD,PRCP,TEMP,VISIB,WDSP,Fog,Rain,Snow,Hail,Thunder,Tornado
1973-04-14,78.1,39.0,28.000000000000004,14.0,0.0,31.88888888888889,2.9,9.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-15,79.5,37.0,26.999999999999996,9.9,0.0,31.61111111111111,2.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-16,73.4,38.0,26.999999999999996,11.8,0.0,32.111111111111114,2.7,6.8,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-17,78.2,37.0,26.0,10.9,0.0,30.88888888888889,3.1,6.9,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-18,61.2,39.0,25.0,9.9,0.0,31.61111111111111,2.9,5.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-19,71.9,40.0,26.0,8.0,0.0,33.0,2.6,4.6,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-20,79.2,36.0,26.999999999999996,15.9,0.0,30.88888888888889,2.8,9.9,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-21,79.7,36.0,26.999999999999996,14.0,0.0,30.38888888888889,2.9,8.3,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-22,77.4,36.0,26.0,15.9,0.0,31.38888888888889,4.2,11.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-23,76.6,35.0,24.0,20.0,0.0,29.88888888888889,2.9,11.9,0.0,0.0,0.0,0.0,1.0,0.0
1973-04-24,78.5,35.0,26.999999999999996,11.8,0.0,29.833333333333332,2.7,7.9,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-25,78.3,36.0,26.999999999999996,11.8,0.0,32.111111111111114,4.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-26,76.8,35.0,26.999999999999996,17.9,0.0,31.5,4.6,9.5,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-27,77.9,35.0,26.0,14.0,0.0,31.5,3.7,10.1,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-28,76.3,36.0,25.0,16.9,0.0,30.11111111111111,3.1,9.8,0.0,0.0,0.0,0.0,1.0,0.0
1973-04-29,75.8,35.0,23.000000000000004,17.9,0.0,28.77777777777778,3.6,8.2,0.0,0.0,0.0,0.0,1.0,0.0
1973-04-30,79.3,36.0,23.000000000000004,11.8,0.0,30.61111111111111,3.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0
1973-05-01,72.1,35.0,21.0,11.8,0.0,28.000000000000004,3.4,8.9,0.0,0.0,0.0,0.0,0.0,0.0
1973-05-02,70.4,34.0,21.999999999999996,10.9,0.0,27.88888888888889,3.8,4.6,0.0,0.0,0.0,0.0,1.0,0.0
1973-05-03,75.2,38.0,23.000000000000004,10.9,0.0,31.055555555555557,3.5,4.8,0.0,0.0,0.0,0.0,0.0,0.0
1973-05-04,76.1,36.0,24.0,8.0,0.0,30.61111111111111,3.1,5.3,0.0,0.0,0.0,0.0,0.0,0.0
1973-05-05,77.4,34.0,23.000000000000004,15.0,0.0,30.5,2.8,7.6,0.0,0.0,1.0,0.0,0.0,0.0
1973-05-06,77.6,36.0,30.0,15.9,0.0,32.833333333333336,3.9,11.5,0.0,0.0,0.0,0.0,1.0,0.0
1973-05-07,81.1,35.0,28.000000000000004,14.0,0.0,30.22222222222222,2.7,7.7,0.0,0.0,0.0,0.0,0.0,0.0
1973-05-08,81.1,37.0,29.0,15.0,0.0,32.611111111111114,2.7,9.1,0.0,0.0,0.0,0.0,0.0,0.0
1973-05-09,81.3,35.0,29.0,15.9,0.0,31.61111111111111,2.7,11.1,0.0,0.0,0.0,0.0,1.0,0.0
1973-05-10,81.4,35.0,28.000000000000004,20.0,0.0,31.333333333333332,3.0,12.9,0.0,0.0,0.0,0.0,0.0,0.0
1973-05-11,78.4,37.0,21.999999999999996,16.9,0.0,31.11111111111111,3.0,11.5,0.0,0.0,0.0,0.0,1.0,0.0
1973-05-12,74.5,31.0,21.0,10.9,0.0,27.277777777777775,2.4,5.9,0.0,0.0,0.0,0.0,0.0,0.0
1973-05-13,77.0,34.0,25.0,13.0,0.0,29.22222222222222,3.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0
1973-05-14,76.3,34.0,25.0,9.9,0.0,29.5,3.0,7.5,0.0,0.0,0.0,0.0,1.0,0.0
1973-05-15,77.8,35.0,26.0,9.9,0.0,30.555555555555557,2.8,6.6,0.0,0.0,0.0,0.0,0.0,0.0
1973-05-16,79.4,36.0,26.0,9.9,0.0,31.22222222222222,2.4,6.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-05-17,75.2,35.0,24.0,15.0,0.0,27.277777777777775,3.2,7.7,0.0,0.0,0.0,0.0,0.0,0.0
1973-05-18,76.4,35.0,24.0,11.8,0.0,30.22222222222222,3.3,6.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-05-19,75.2,35.0,24.0,9.9,0.0,29.666666666666668,2.5,6.1,0.0,0.0,0.0,0.0,0.0,0.0
1973-05-20,77.7,35.0,25.0,9.9,0.0,29.0,3.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0
1973-05-21,75.7,35.0,21.999999999999996,17.9,0.0,28.111111111111107,2.9,9.0,0.0,0.0,0.0,0.0,1.0,0.0
1973-05-22,76.1,35.0,21.999999999999996,15.0,0.0,31.0,3.1,10.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-05-23,79.6,34.0,23.000000000000004,8.9,0.0,29.555555555555557,2.5,5.1,0.0,0.0,0.0,0.0,0.0,0.0
1973-05-24,74.8,34.0,12.0,14.0,0.0,27.5,7.0,6.3,0.0,0.0,0.0,0.0,1.0,0.0
1973-05-25,77.9,32.0,25.0,9.9,0.0,28.166666666666668,3.1,5.6,0.0,0.0,0.0,0.0,0.0,0.0
1973-05-26,78.1,35.0,24.0,15.9,0.0,28.666666666666668,2.9,6.7,0.0,0.0,0.0,0.0,1.0,0.0
1973-05-27,79.4,35.0,26.0,9.9,0.0,29.666666666666668,5.1,3.8,0.0,0.0,0.0,0.0,1.0,0.0
1973-05-28,72.2,28.000000000000004,23.000000000000004,13.0,0.0,25.0,2.8,4.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-05-29,80.4,34.0,24.0,7.0,0.0,30.61111111111111,3.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0
1973-05-30,80.2,35.0,26.0,20.0,0.0,30.0,2.6,5.9,0.0,0.0,0.0,0.0,0.0,0.0
1973-05-31,79.5,34.0,25.0,8.0,6.476999999999999,29.22222222222222,2.4,4.7,0.0,1.0,0.0,0.0,1.0,0.0
1973-06-01,78.1,35.0,21.999999999999996,9.9,12.953999999999999,31.333333333333332,3.2,6.6,0.0,1.0,0.0,0.0,0.0,0.0
1973-06-02,78.8,35.0,26.0,6.0,0.0,30.444444444444443,2.7,4.6,0.0,0.0,0.0,0.0,0.0,0.0
1973-06-03,77.7,35.0,26.999999999999996,11.8,0.0,31.61111111111111,4.1,7.1,0.0,0.0,0.0,0.0,0.0,0.0
1973-06-04,78.2,35.0,26.0,11.8,0.0,29.88888888888889,3.2,6.8,0.0,0.0,0.0,0.0,0.0,0.0
1973-06-05,77.4,34.0,23.000000000000004,11.8,1.5239999999999998,29.22222222222222,3.5,7.3,0.0,1.0,0.0,0.0,0.0,0.0
1973-06-06,79.6,34.0,24.0,8.0,3.0479999999999996,30.444444444444443,2.5,6.4,0.0,1.0,0.0,0.0,0.0,0.0
1973-06-07,80.1,36.0,25.0,9.9,0.0,31.833333333333332,3.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0
1973-06-08,77.4,29.0,24.0,5.1,7.112,26.611111111111114,2.9,1.7,0.0,1.0,0.0,0.0,1.0,0.0
1973-06-09,78.6,34.0,25.0,9.9,5.08,27.88888888888889,2.6,2.9,0.0,1.0,0.0,0.0,0.0,0.0
1973-06-10,78.5,32.0,26.999999999999996,2.9,3.0479999999999996,27.83333333333333,2.7,1.9,0.0,1.0,0.0,0.0,1.0,0.0
1973-06-11,80.4,32.0,26.999999999999996,5.8,0.0,28.555555555555557,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
1973-06-12,79.0,31.0,26.0,5.8,18.034,28.555555555555557,3.2,3.2,0.0,1.0,0.0,0.0,0.0,0.0
1973-06-13,80.4,36.0,26.0,9.9,2.032,30.333333333333332,2.8,5.2,0.0,1.0,0.0,0.0,1.0,0.0
1973-06-14,79.0,31.0,25.0,10.9,7.112,29.27777777777778,3.2,6.1,0.0,1.0,0.0,0.0,0.0,0.0
1973-06-15,76.6,35.0,29.0,11.8,0.0,32.111111111111114,3.2,6.4,0.0,0.0,0.0,0.0,0.0,0.0
1973-06-16,78.9,35.0,28.000000000000004,9.9,0.0,31.944444444444443,3.1,6.5,0.0,0.0,0.0,0.0,0.0,0.0
1973-06-17,76.9,37.0,21.0,9.9,0.0,29.11111111111111,3.4,5.7,0.0,0.0,0.0,0.0,1.0,0.0
1973-06-18,77.4,30.0,24.0,8.0,48.00599999999999,27.277777777777775,2.9,4.1,0.0,1.0,0.0,0.0,0.0,0.0
1973-06-19,79.3,31.0,26.999999999999996,8.0,0.0,28.77777777777778,3.7,3.4,0.0,0.0,0.0,0.0,0.0,0.0
1973-06-20,78.5,33.0,26.0,14.0,0.0,29.833333333333332,2.7,6.1,0.0,0.0,0.0,0.0,1.0,0.0
1973-06-21,78.9,33.0,25.0,10.9,40.894,29.61111111111111,3.1,6.9,0.0,1.0,0.0,0.0,0.0,0.0
1973-06-22,81.2,35.0,28.000000000000004,8.0,0.0,29.944444444444443,3.2,5.7,0.0,0.0,0.0,0.0,0.0,0.0
1973-06-23,79.3,35.0,26.999999999999996,17.9,0.0,30.333333333333332,3.2,4.5,0.0,0.0,0.0,0.0,1.0,0.0
1973-06-24,83.1,38.0,26.0,8.9,25.907999999999998,32.27777777777778,2.8,5.9,0.0,1.0,0.0,0.0,0.0,0.0
1973-06-25,80.6,35.0,28.000000000000004,10.9,0.0,30.11111111111111,3.3,6.1,0.0,0.0,0.0,0.0,0.0,0.0
1973-06-26,79.0,33.0,26.0,10.9,1.016,30.0,3.2,6.5,0.0,1.0,0.0,0.0,0.0,0.0
1973-06-27,77.7,34.0,25.0,17.9,0.0,28.77777777777778,3.7,7.1,0.0,0.0,0.0,0.0,1.0,0.0
1973-06-28,80.4,35.0,26.0,8.0,0.0,28.72222222222222,3.4,3.0,0.0,0.0,0.0,0.0,1.0,0.0
1973-06-29,79.8,32.0,26.0,11.8,23.114,29.555555555555557,3.5,5.8,0.0,1.0,0.0,0.0,0.0,0.0
1973-06-30,79.9,34.0,26.999999999999996,10.9,0.0,29.833333333333332,3.3,5.1,0.0,0.0,1.0,0.0,1.0,0.0
1973-07-01,80.3,32.0,26.999999999999996,8.0,1.016,29.11111111111111,3.8,4.5,0.0,1.0,0.0,0.0,0.0,0.0
1973-07-02,81.4,37.0,26.999999999999996,9.9,0.0,30.72222222222222,3.9,4.4,0.0,0.0,0.0,0.0,0.0,0.0
1973-07-03,78.2,34.0,26.0,9.9,1.016,29.333333333333332,4.8,5.9,0.0,1.0,0.0,0.0,0.0,0.0
1973-07-04,77.9,33.0,26.0,11.8,0.508,28.77777777777778,4.0,6.1,0.0,1.0,0.0,0.0,1.0,0.0
1973-07-05,78.6,32.0,26.0,15.0,0.0,28.22222222222222,3.6,9.1,0.0,0.0,0.0,0.0,0.0,0.0
1973-07-06,79.1,31.0,26.0,22.0,6.985,28.444444444444443,3.6,12.8,0.0,1.0,0.0,0.0,1.0,0.0
1973-07-07,78.1,30.0,25.0,21.0,13.97,27.555555555555554,3.1,13.0,0.0,1.0,0.0,0.0,0.0,0.0
1973-07-08,77.4,30.0,24.0,15.0,0.0,26.611111111111114,3.7,7.5,0.0,0.0,0.0,0.0,0.0,0.0
1973-07-09,77.8,29.0,23.000000000000004,8.9,0.0,26.166666666666664,3.6,2.1,0.0,0.0,0.0,0.0,0.0,0.0
1973-07-10,77.8,35.0,26.0,4.9,0.0,29.944444444444443,3.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0
1973-07-11,77.5,33.0,25.0,8.9,0.0,28.166666666666668,3.1,3.9,0.0,0.0,0.0,0.0,1.0,0.0
1973-07-12,78.6,33.0,25.0,15.0,30.987999999999996,28.833333333333332,3.7,9.8,0.0,1.0,0.0,0.0,0.0,0.0
1973-07-13,79.2,32.0,26.0,15.0,0.0,28.666666666666668,3.6,9.3,0.0,0.0,0.0,1.0,0.0,0.0
1973-07-14,77.9,36.0,25.0,9.9,8.889999999999999,28.277777777777782,3.2,7.2,0.0,1.0,0.0,0.0,0.0,0.0
1973-07-15,78.8,32.0,25.0,8.9,2.032,28.22222222222222,3.0,3.8,0.0,1.0,0.0,0.0,0.0,0.0
1973-07-16,79.1,32.0,25.0,9.9,18.034,28.166666666666668,2.8,4.2,0.0,1.0,0.0,0.0,0.0,0.0
1973-07-17,78.8,36.0,26.0,12.8,3.0479999999999996,30.77777777777778,4.1,5.6,0.0,1.0,0.0,0.0,0.0,0.0
1973-07-18,79.8,33.0,26.999999999999996,8.9,0.0,28.944444444444443,3.5,5.1,0.0,0.0,0.0,0.0,1.0,0.0
1973-07-19,78.4,32.0,25.0,12.0,16.002,27.88888888888889,2.5,8.6,0.0,1.0,0.0,0.0,0.0,0.0
1973-07-20,75.5,37.0,25.0,21.0,7.874,27.555555555555554,2.9,10.0,0.0,1.0,0.0,0.0,1.0,0.0
